id,nombre,ubicacion,direccion_mac,id_persona
101,Meembee,PO Box 59993,8B-AD-2D-C8-72-1D,1
102,Kazio,Apt 51,CB-EF-CF-55-76-3D,1
3,Vidoo,PO Box 34251,75-3D-D7-94-D5-27,3
4,Jazzy,4th Floor,B6-CB-61-72-FA-02,4
5,Plambee,Suite 73,FD-C8-40-86-44-2B,5
6,Meevee,Room 1061,56-41-DC-0E-D4-BE,6
7,Meezzy,Suite 24,09-DC-7E-1A-8D-74,7
8,Tambee,Room 1341,26-E4-F1-27-64-D1,8
9,Meemm,9th Floor,BA-F7-70-48-62-98,9
10,Kazio,Apt 1226,A2-E8-BD-BF-77-54,10
11,Blogpad,PO Box 53629,C0-A8-3A-C5-8B-D3,11
12,Photolist,PO Box 19572,BF-F7-04-ED-9D-5B,12
13,Einti,Suite 86,61-5C-4B-CB-1A-70,13
14,Oyondu,Apt 954,36-14-1B-17-8E-4F,14
15,Realbuzz,Apt 1333,F5-0F-E6-6A-A0-BB,15
16,Topiczoom,PO Box 64741,6E-A6-26-CE-E2-4D,16
17,Yoveo,PO Box 17906,8D-11-E7-85-26-9A,17
18,Miboo,Apt 1033,FF-93-BB-3B-4A-12,18
19,Digitube,Suite 16,9F-97-B2-86-01-13,19
20,Tazzy,PO Box 16090,36-D5-24-F7-52-4F,20
21,Viva,PO Box 65588,26-D3-47-D9-A2-06,21
22,Skajo,Room 423,A0-CD-02-7B-68-63,22
23,Rhycero,Apt 1412,63-5A-7B-78-71-20,23
24,Jaxworks,20th Floor,56-03-D1-63-1D-7F,24
25,Flipstorm,Suite 96,EE-6A-D9-57-D2-4C,25
26,Kaymbo,PO Box 48658,20-58-31-FE-17-CF,26
27,Vinder,Suite 79,D3-F4-64-95-FD-4F,27
28,Feednation,Apt 1985,EB-74-F8-D8-84-E6,28
29,Vinte,Suite 64,6C-E4-E4-7A-C1-BE,29
30,Flashspan,PO Box 86160,D8-21-11-22-0B-A7,30
31,Skajo,Room 1928,48-82-D6-06-01-90,31
32,Voonix,Apt 248,68-3E-02-E7-1B-BA,32
33,Quinu,Apt 1653,C3-6A-3D-B8-D9-DE,33
34,Gabtune,Apt 1154,A6-E5-81-90-54-69,34
35,Blogtags,Apt 1233,95-CC-D5-05-B7-AF,35
36,Tagfeed,Suite 74,5C-34-75-1D-17-54,36
37,DabZ,3rd Floor,96-7A-F0-7B-83-82,37
38,Quinu,PO Box 43447,41-D0-AB-EE-4F-CB,38
39,Snaptags,Apt 1234,DE-EB-FE-D0-75-E8,39
40,Yamia,10th Floor,28-67-39-10-58-E7,40
41,Zava,PO Box 34497,0F-D6-58-5B-FE-A7,41
42,Yakijo,6th Floor,10-4F-D5-52-3F-22,42
43,Voomm,Apt 417,FA-E1-54-57-05-23,43
44,Ooba,Apt 566,C7-57-86-52-E3-D8,44
45,Skinder,11th Floor,C8-BC-65-D5-EE-78,45
46,Thoughtbeat,Room 1631,C3-8F-70-BB-73-75,46
47,Meemm,PO Box 42244,68-2A-7F-A3-2A-98,47
48,Eazzy,Suite 3,89-E7-7C-8B-41-1F,48
49,Tagopia,Room 404,D3-CA-F0-43-6B-EA,49
50,Eamia,Apt 274,91-FC-0A-CE-25-95,50
51,Yata,Room 335,E1-16-3C-7D-B8-3B,51
52,Dynabox,Room 1930,25-3D-8D-64-D5-08,52
53,Flashdog,PO Box 89203,9D-18-F9-8C-D6-12,53
54,Kazu,13th Floor,79-66-B0-E9-FF-81,54
55,Buzzster,Apt 876,6A-B7-83-F5-E9-D8,55
56,Centidel,Suite 48,64-5A-EC-BA-1C-FA,56
57,Zoomcast,Suite 80,D3-12-86-2F-87-12,57
58,Gabvine,Room 1699,86-00-6F-86-84-05,58
59,Meevee,Room 930,0E-E1-6B-85-60-FA,59
60,DabZ,Suite 88,03-09-09-14-A2-10,60
61,Photolist,Apt 1564,0D-49-53-8D-36-52,61
62,Wikivu,Suite 23,67-93-87-FA-6F-1B,62
63,Wordtune,Apt 1344,26-01-67-B9-4C-44,63
64,Realcube,5th Floor,F7-DA-4C-14-44-02,64
65,Babbleopia,Suite 97,CF-AC-9A-01-8E-C3,65
66,Linktype,Room 76,86-3C-11-3E-5E-48,66
67,Katz,Apt 747,81-EA-53-5B-D6-2C,67
68,Meezzy,PO Box 62313,D7-66-89-50-17-F8,68
69,Devpulse,Suite 60,AB-30-FB-9C-07-04,69
70,LiveZ,Room 1799,44-77-0A-45-6F-E5,70
71,Brainlounge,18th Floor,B4-1E-71-B0-D5-D6,71
72,Flipstorm,Apt 155,9E-9E-5D-C0-C0-66,72
73,Tagcat,13th Floor,27-0D-8F-1C-85-33,73
74,Blogtags,9th Floor,83-FB-16-2C-42-BB,74
75,Zoomlounge,Room 932,85-2A-D5-C1-1E-55,75
76,Divavu,Apt 312,D3-00-1D-06-04-32,76
77,Gigabox,Apt 1571,B4-F6-07-3A-7B-B2,77
78,Jetpulse,PO Box 24561,85-97-A4-87-DA-DD,78
79,Eidel,PO Box 77679,45-0F-28-67-02-50,79
80,Oozz,Suite 82,CC-A6-E0-82-AF-FE,80
81,Dabtype,Suite 69,9F-06-B2-DD-3D-76,81
82,Fivebridge,Suite 93,F5-40-D8-E0-19-B8,82
83,Realbuzz,4th Floor,A7-89-99-11-CD-45,83
84,Flashpoint,Suite 32,3C-B3-B3-7C-09-A8,84
85,Blognation,15th Floor,11-49-2B-A2-49-D2,85
86,Kayveo,PO Box 30200,35-94-2D-2C-96-E7,86
87,Plajo,Apt 43,AA-4D-61-B1-BD-70,87
88,Eadel,Apt 1781,D9-37-46-5D-78-8C,88
89,Tagchat,PO Box 89077,CF-55-D5-BC-1D-FB,89
90,Tavu,PO Box 43628,38-20-E3-49-5B-81,90
91,Kwimbee,Apt 33,94-4C-55-F3-57-90,91
92,Skinix,Room 1439,19-75-F5-3F-6A-9D,92
93,Photobean,Apt 1238,18-98-04-4E-4D-39,93
94,Thoughtstorm,Suite 16,58-A0-7E-8D-3D-E9,94
95,Brainlounge,Room 1935,07-7A-A6-7A-1F-F1,95
96,Jetwire,PO Box 92877,D4-12-F0-21-22-09,96
97,Brainlounge,Suite 59,7B-2C-1E-A2-71-E3,97
98,Jazzy,Suite 57,D9-9A-BA-BB-D6-A3,98
99,Photofeed,PO Box 37958,42-92-C0-50-31-D9,99
100,Devify,Apt 287,D4-3E-61-33-02-4B,100
